rent_ceiling,unit_address,housing_services,tenancy_start_date,unit_status,bed,occ
"$2,531.61",2442 PIEDMONT AVE #6,"Garbage, Water",6/12/2014,RENTED - Rented or Available,2,4
"$3,195.00",2442 PIEDMONT AVE #7,"Garbage, Water",6/1/2017,RENTED - Rented or Available,2,4
"$2,961.59",2442 PIEDMONT AVE #8,"Garbage, Water",6/18/2016,RENTED - Rented or Available,2,4
"$2,531.61",2442 PIEDMONT AVE #9,"Garbage, Water",6/20/2014,RENTED - Rented or Available,2,2
"$2,743.01",2442 PIEDMONT AVE #10,"Garbage, Water",8/1/2014,RENTED - Rented or Available,2,4
"$2,961.59",2442 PIEDMONT AVE #11,"Garbage, Water",6/7/2016,RENTED - Rented or Available,2,2
"$2,531.61",2442 PIEDMONT AVE #12,"Garbage, Water",6/6/2014,RENTED - Rented or Available,2,2
"$2,156.35",2442 PIEDMONT AVE #13,"Garbage, Water",8/1/2013,RENTED - Rented or Available,2,3
"$2,961.59",2442 PIEDMONT AVE #14,"Garbage, Water",6/10/2016,RENTED - Rented or Available,2,4
"$2,806.61",2442 PIEDMONT AVE #15,"Garbage, Water",6/12/2015,RENTED - Rented or Available,2,4
"$2,425.90",2442 PIEDMONT AVE #16,"Garbage, Water",8/19/2014,RENTED - Rented or Available,2,4
"$3,295.00",2442 PIEDMONT AVE #17,"Garbage, Water",6/1/2017,RENTED - Rented or Available,2,2
"$2,961.59",2442 PIEDMONT AVE #18,"Garbage, Water",6/10/2016,RENTED - Rented or Available,2,3
"$3,063.89",2442 PIEDMONT AVE #19,"Garbage, Water",6/10/2016,RENTED - Rented or Available,2,4
"$2,961.59",2442 PIEDMONT AVE #20,"Garbage, Water",6/8/2016,RENTED - Rented or Available,2,1
"$2,325.47",2511 PIEDMONT AVE #101,"Garbage, Water",6/1/2014,RENTED - Rented or Available,2,4
$830.48,2511 PIEDMONT AVE #102,"Garbage, Laundry Access, Parking, Storage, Water",6/4/1996,RENTED - Rented or Available,1,2
$738.18,2511 PIEDMONT AVE #103,"Electricity, Garbage, Gas, Heat, Laundry Access, Water",n/a,RENTED - Rented or Available since 5/1/1991,1,-1
"$2,100.35",2511 PIEDMONT AVE #104,"Garbage, Laundry Access, Water",5/28/2004,RENTED - Rented or Available,2,2
$917.99,2511 PIEDMONT AVE #201,"Garbage, Laundry Access, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$1,518.91",2511 PIEDMONT AVE #202,"Garbage, Laundry Access, Water",6/16/2007,RENTED - Rented or Available,1,2
"$1,561.19",2511 PIEDMONT AVE #203,"Garbage, Sewer, Water",8/16/2011,RENTED - Rented or Available,1,2
"$2,110.69",2511 PIEDMONT AVE #204,"Garbage, Laundry Access",7/22/2009,RENTED - Rented or Available,2,2
"$2,281.84",2511 PIEDMONT AVE #301,"Garbage, Laundry Access",7/1/2009,RENTED - Rented or Available,2,2
$726.75,2511 PIEDMONT AVE #302,"Garbage, Laundry Access, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,505.45",2511 PIEDMONT AVE #303,"Garbage, Water",6/1/2011,RENTED - Rented or Available,1,2
$982.59,2511 PIEDMONT AVE #304,"Furnishings, Garbage, Laundry Access, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,2,0
$954.12,2513 PIEDMONT AVE #101,"Garbage, Laundry Access, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$1,401.62",2513 PIEDMONT AVE #102,"Garbage, Laundry Access, Water",1/3/2007,RENTED - Rented or Available,1,1
$709.13,2513 PIEDMONT AVE #103,"Garbage, Parking, Sewer, Storage, Water",3/10/2000,RENTED - Rented or Available,1,1
"$2,111.20",2513 PIEDMONT AVE #104,"Garbage, Laundry Access, Water",5/26/2007,RENTED - Rented or Available,2,2
"$2,209.32",2513 PIEDMONT AVE #201,"Garbage, Laundry Access, Water",n/a,RENTED - Rented or Available since 6/1/2011,2,-1
"$1,518.91",2513 PIEDMONT AVE #202,"Garbage, Laundry Access, Water",6/16/2007,RENTED - Rented or Available,1,2
"$1,498.36",2513 PIEDMONT AVE #203,"Garbage, Laundry Access, Water",5/12/2006,RENTED - Rented or Available,1,2
"$2,284.11",2513 PIEDMONT AVE #204,"Garbage, Laundry Access, Water",4/16/2008,RENTED - Rented or Available,2,4
"$2,322.33",2513 PIEDMONT AVE #301,"Garbage, Laundry Access, Water",6/1/2007,RENTED - Rented or Available,2,3
"$1,071.54",2513 PIEDMONT AVE #302,"Garbage, Laundry Access, Other, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$1,444.12",2513 PIEDMONT AVE #303,(no active services),5/15/2011,RENTED - Rented or Available,1,3
$954.12,2513 PIEDMONT AVE #304,"Garbage, Laundry Access, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$2,895.00",2310 PIEDMONT AVE #101,"Appliances, Garbage, Water",8/1/2017,RENTED - Rented or Available,2,4
"$3,324.75",2310 PIEDMONT AVE #102,"Appliances, Garbage, Water",8/1/2016,RENTED - Rented or Available,2,2
"$3,050.00",2310 PIEDMONT AVE #103,"Appliances, Garbage, Water",6/1/2017,RENTED - Rented or Available,2,2
"$2,195.00",2310 PIEDMONT AVE #104,"Appliances, Garbage, Water",5/1/2017,RENTED - Rented or Available,1,2
"$2,895.00",2310 PIEDMONT AVE #105,"Appliances, Garbage, Water",8/6/2017,RENTED - Rented or Available,2,3
"$2,200.00",2310 PIEDMONT AVE #106,"Appliances, Garbage, Water",1/1/2018,RENTED - Rented or Available,1,3
"$2,616.17",2310 PIEDMONT AVE #201,"Garbage, Water",7/1/2014,RENTED - Rented or Available,2,3
"$3,427.05",2310 PIEDMONT AVE #202,"Appliances, Garbage, Water",7/23/2016,RENTED - Rented or Available,2,2
"$2,587.62",2310 PIEDMONT AVE #203,"Appliances, Garbage, Water",8/3/2013,RENTED - Rented or Available,2,3
"$3,098.21",2310 PIEDMONT AVE #204,"Appliances, Garbage, Water",8/1/2015,RENTED - Rented or Available,2,4
"$2,589.73",2310 PIEDMONT AVE #205,"Garbage, Water",5/16/2014,RENTED - Rented or Available,2,4
"$2,863.89",2310 PIEDMONT AVE #301,"Appliances, Garbage, Water",8/16/2015,RENTED - Rented or Available,2,3
"$3,050.00",2310 PIEDMONT AVE #302,Garbage,8/1/2017,RENTED - Rented or Available,2,2
"$2,995.00",2310 PIEDMONT AVE #303,"Appliances, Garbage, Water",8/1/2017,RENTED - Rented or Available,2,4
"$3,119.03",2310 PIEDMONT AVE #304,"Appliances, Garbage, Water",8/6/2015,RENTED - Rented or Available,2,4
"$2,668.49",2310 PIEDMONT AVE #305,"Garbage, Water",6/1/2013,RENTED - Rented or Available,2,3
"$3,592.88",2310 PIEDMONT AVE #401,"Garbage, Water",8/13/2015,RENTED - Rented or Available,2,5
"$1,874.59",2310 PIEDMONT AVE #402,"Garbage, Water",6/1/2006,RENTED - Rented or Available,1,1
n/a,,(no active services),12/31/1995,GOV - Gov't owned,-1,-1
"$1,312.06",2536 PIEDMONT AVE #1,"Appliances, Garbage, Gas, Water",7/15/2009,RENTED - Rented or Available,0,1
"$2,166.14",2536 PIEDMONT AVE #2,"Appliances, Garbage, Gas, Water",5/30/2015,RENTED - Rented or Available,1,2
n/a,2536 PIEDMONT AVE #3,"Appliances, Garbage, Gas, Laundry Access, Water",7/15/2016,(~) MISC - Exempt-Misc,-1,-1
"$1,765.37",2536 PIEDMONT AVE #4,"Garbage, Gas, Water",10/8/2012,RENTED - Rented or Available,1,2
"$2,299.06",2803 PARKER ST #A,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",12/1/2014,RENTED - Rented or Available,1,1
"$2,200.00",2803 PARKER ST #B,"Appliances, Garbage, Laundry Access, Parking, Storage, Water",3/15/2017,RENTED - Rented or Available,1,2
"$1,076.53",2803 PARKER ST #C,"Laundry Access, Parking",10/1/2001,RENTED - Rented or Available,1,2
n/a,2803 PARKER ST #D,"Garbage, Parking, Storage, Water",n/a,OOCC - Owner Occupied since 7/1/2016,-1,-1
"$2,968.03",2519 PARKER ST #101,"Appliances, Garbage, Laundry Access, Water",6/7/2015,RENTED - Rented or Available,2,5
"$2,587.62",2519 PARKER ST #102,"Garbage, Water",7/1/2013,RENTED - Rented or Available,2,5
$896.35,2519 PARKER ST #103,"Furnishings, Garbage, Laundry Access, Sewer, Storage, Water",5/31/1980,RENTED - Rented or Available,2,1
"$2,950.00",2519 PARKER ST #104,"Appliances, Garbage, Laundry Access, Water",6/10/2017,RENTED - Rented or Available,2,4
"$3,200.00",2519 PARKER ST #201,"Appliances, Garbage, Laundry Access, Water",6/10/2017,RENTED - Rented or Available,2,5
$972.14,2519 PARKER ST #202,"Furnishings, Garbage, Laundry Access, Parking, Sewer, Storage, Water",5/31/1980,RENTED - Rented or Available,2,1
"$2,801.15",2519 PARKER ST #203,"Appliances, Garbage, Laundry Access, Water",6/8/2014,RENTED - Rented or Available,2,5
"$3,069.00",2519 PARKER ST #204,"Appliances, Garbage, Laundry Access, Water",6/5/2016,RENTED - Rented or Available,2,5
n/a,2519 PARKER ST #301,"Furnishings, Garbage, Laundry Access, Storage, Water",n/a,(~) MISC - Exempt-Misc since 7/1/1998,-1,-1
"$2,968.03",2519 PARKER ST #302,"Appliances, Garbage, Laundry Access, Water",6/7/2015,RENTED - Rented or Available,2,5
"$3,069.00",2519 PARKER ST #303,"Appliances, Garbage, Laundry Access, Water",6/5/2016,RENTED - Rented or Available,2,5
"$3,069.00",2519 PARKER ST #304,"Appliances, Garbage, Laundry Access, Water",6/5/2016,RENTED - Rented or Available,2,5
"$1,654.33",2727 PARKER ST #A,"Appliances, Electricity, Garbage, Heat, Storage, Water",9/15/2009,RENTED - Rented or Available,1,1
"$2,075.00",2727 PARKER ST #B,"Electricity, Garbage, Gas, Water",11/1/2017,RENTED - Rented or Available,1,2
$762.28,2727 PARKER ST #C,"Garbage, Parking, Storage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$2,056.79",2727 PARKER ST #D,"Appliances, Garbage, Parking, Water",7/3/2015,RENTED - Rented or Available,1,2
"$2,056.79",2727 PARKER ST #E,"Appliances, Garbage, Water",6/24/2015,RENTED - Rented or Available,1,1
"$2,317.15",2727 PARKER ST #F,"Electricity, Garbage, Gas, Water",12/10/2015,RENTED - Rented or Available,1,2
$989.32,2727 PARKER ST #G,"Garbage, Parking, Storage, Water",8/15/1998,RENTED - Rented or Available,1,0
$749.81,2727 PARKER ST #H,"Garbage, Parking, Storage, Water",n/a,RENTED - Rented or Available since 3/1/1994,1,-1
"$2,595.00",2456 PARKER ST #1,"Garbage, Water",5/1/2017,RENTED - Rented or Available,2,3
"$3,375.90",2456 PARKER ST #2,"Garbage, Water",6/3/2016,RENTED - Rented or Available,1,4
"$1,754.40",2456 PARKER ST #3,"Appliances, Garbage, Laundry Access, Water",6/5/2012,RENTED - Rented or Available,2,2
"$2,495.00",2456 PARKER ST #4,"Garbage, Water",9/1/2017,RENTED - Rented or Available,1,2
"$2,552.39",2460 PARKER ST #1,"Garbage, Water",6/4/2016,RENTED - Rented or Available,2,3
"$2,285.90",2460 PARKER ST #2,"Garbage, Water",6/15/2015,RENTED - Rented or Available,2,3
"$2,552.39",2460 PARKER ST #3,"Garbage, Water",6/1/2016,RENTED - Rented or Available,1,3
"$2,495.00",2460 PARKER ST #4,"Garbage, Water",8/16/2017,RENTED - Rented or Available,2,3
"$2,595.00",2456 PARKER ST #1,"Garbage, Water",5/1/2017,RENTED - Rented or Available,2,3
"$3,375.90",2456 PARKER ST #2,"Garbage, Water",6/3/2016,RENTED - Rented or Available,1,4
"$1,754.40",2456 PARKER ST #3,"Appliances, Garbage, Laundry Access, Water",6/5/2012,RENTED - Rented or Available,2,2
"$2,495.00",2456 PARKER ST #4,"Garbage, Water",9/1/2017,RENTED - Rented or Available,1,2
"$2,552.39",2460 PARKER ST #1,"Garbage, Water",6/4/2016,RENTED - Rented or Available,2,3
"$2,285.90",2460 PARKER ST #2,"Garbage, Water",6/15/2015,RENTED - Rented or Available,2,3
"$2,552.39",2460 PARKER ST #3,"Garbage, Water",6/1/2016,RENTED - Rented or Available,1,3
"$2,495.00",2460 PARKER ST #4,"Garbage, Water",8/16/2017,RENTED - Rented or Available,2,3
"$2,848.72",2414 PARKER ST #1,"Garbage, Parking, Water",6/1/2014,RENTED - Rented or Available,2,4
"$3,812.00",2414 PARKER ST #2,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,5
"$3,952.17",2414 PARKER ST #3,"Appliances, Garbage, Water",6/1/2015,RENTED - Rented or Available,3,5
"$3,557.00",2414 PARKER ST #4,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,2
"$2,637.30",2414 PARKER ST #5,"Appliances, Garbage, Parking, Water",6/1/2014,RENTED - Rented or Available,2,3
"$2,954.41",2414 PARKER ST #6,"Garbage, Parking, Water",6/1/2014,RENTED - Rented or Available,2,4
"$3,863.00",2414 PARKER ST #7,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,4
"$3,900.10",2414 PARKER ST #8,"Garbage, Water",6/1/2015,RENTED - Rented or Available,3,4
"$3,812.00",2414 PARKER ST #9,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,5
"$3,359.00",2414 PARKER ST #10,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,3
"$3,914.00",2414 PARKER ST #11,"Garbage, Heat, Water",6/1/2017,RENTED - Rented or Available,2,3
"$3,065.40",2414 PARKER ST #12,(no active services),6/1/2014,RENTED - Rented or Available,2,5
"$4,004.24",2414 PARKER ST #13,"Garbage, Laundry Access, Water",6/1/2015,RENTED - Rented or Available,3,5
"$3,020.10",2414 PARKER ST #14,"Garbage, Laundry Access, Water",6/1/2015,RENTED - Rented or Available,2,3
"$3,223.18",2414 PARKER ST #15,"Garbage, Water",6/1/2015,RENTED - Rented or Available,2,4
"$2,001.69",2414 PARKER ST #PENT,"Garbage, Parking, Water",6/1/2011,RENTED - Rented or Available,1,2
"$1,161.17",2503 REGENT ST #1,"Garbage, Water",7/1/2007,RENTED - Rented or Available,1,2
"$2,302.66",2503 REGENT ST #2,"Garbage, Water",8/1/2012,RENTED - Rented or Available,3,2
"$1,401.63",2503 REGENT ST #3,"Garbage, Parking, Water",10/1/2013,RENTED - Rented or Available,1,1
"$4,603.50",2510 REGENT ST #1,"Garbage, Water",5/1/2016,RENTED - Rented or Available,1,6
"$1,973.48",2510 REGENT ST #2,"Garbage, Water",12/15/2015,RENTED - Rented or Available,2,2
"$1,900.58",2510 REGENT ST #3,"Garbage, Water",12/17/2015,RENTED - Rented or Available,3,2
"$2,552.39",2510 REGENT ST #4,"Garbage, Water",2/1/2016,RENTED - Rented or Available,2,2
"$2,474.41",2510 REGENT ST #5,(no active services),7/27/2013,RENTED - Rented or Available,2,3
"$1,995.00",2510 REGENT ST #6,"Garbage, Water",5/22/2017,RENTED - Rented or Available,1,2
"$2,631.62",2510 REGENT ST #7,"Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water",n/a,RENTED - Rented or Available since 6/15/2012,2,-1
"$2,003.92",2510 REGENT ST #8,"Appliances, Garbage, Water",1/1/2011,RENTED - Rented or Available,2,3
"$2,654.69",2510 REGENT ST #9,"Garbage, Water",4/1/2016,RENTED - Rented or Available,2,1
"$2,637.30",2510 REGENT ST #10,"Garbage, Water",6/6/2014,RENTED - Rented or Available,2,2
"$2,195.00",2510 REGENT ST #11,(no active services),7/15/2016,RENTED - Rented or Available,1,1
n/a,2335 PARKER ST #1,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #2,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #3,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #4,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #5,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #6,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #7,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #8,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #9,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #10,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1990,-1,-1
n/a,2337 PARKER ST #11,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #12,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #1,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #2,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #3,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #4,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #5,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #6,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #7,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #8,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #9,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #10,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #11,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #12,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2511 PARKER ST #1,"Garbage, Water",n/a,(~) MISC - Exempt-Misc since 7/1/2011,-1,-1
"$3,195.00",2511 PARKER ST #2,"Garbage, Water",8/5/2017,RENTED - Rented or Available,2,4
"$2,195.00",2511 PARKER ST #3,"Garbage, Water",6/5/2017,RENTED - Rented or Available,1,3
"$3,119.03",2511 PARKER ST #101,"Garbage, Water",8/1/2015,RENTED - Rented or Available,2,4
"$3,020.10",2511 PARKER ST #102,"Garbage, Water",8/1/2015,RENTED - Rented or Available,2,4
"$2,295.00",2511 PARKER ST #103,"Garbage, Water",6/5/2017,RENTED - Rented or Available,1,2
"$1,791.68",2511 PARKER ST #104,"Garbage, Water",7/1/2014,RENTED - Rented or Available,1,2
"$3,195.00",2511 PARKER ST #105,"Garbage, Water",8/7/2017,RENTED - Rented or Available,2,3
"$3,069.00",2511 PARKER ST #106,"Garbage, Water",7/1/2016,RENTED - Rented or Available,2,4
"$2,959.70",2511 PARKER ST #201,"Garbage, Water",7/1/2014,RENTED - Rented or Available,2,3
"$3,795.00",2511 PARKER ST #202,"Garbage, Water",10/1/2017,RENTED - Rented or Available,2,5
"$2,295.00",2511 PARKER ST #203,"Garbage, Water",6/5/2017,RENTED - Rented or Available,1,3
"$2,295.00",2511 PARKER ST #204,"Garbage, Water",6/1/2017,RENTED - Rented or Available,1,2
"$3,595.00",2511 PARKER ST #205,"Garbage, Water",6/1/2017,RENTED - Rented or Available,2,4
"$3,050.00",2511 PARKER ST #206,"Garbage, Water",6/5/2017,RENTED - Rented or Available,2,4
"$2,450.09",2511 PARKER ST #301,"Garbage, Water",7/1/2016,RENTED - Rented or Available,1,3
"$2,395.00",2511 PARKER ST #302,"Garbage, Water",6/3/2017,RENTED - Rented or Available,1,3
"$2,077.62",2511 PARKER ST #304,"Garbage, Water",7/1/2015,RENTED - Rented or Available,1,2
$795.62,2511 PARKER ST #305,"Garbage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$3,195.00",2511 PARKER ST #306,"Garbage, Water",8/8/2017,RENTED - Rented or Available,2,3
"$1,836.29",2515 PARKER ST #A,"Garbage, Water",8/1/2016,RENTED - Rented or Available,0,1
"$1,995.00",2515 PARKER ST #B,"Garbage, Water",6/1/2017,RENTED - Rented or Available,0,1
"$3,984.59",2515 PARKER ST #C,"Garbage, Water",6/2/2016,RENTED - Rented or Available,2,5
"$1,995.00",2515 PARKER ST #E,"Garbage, Water",6/3/2017,RENTED - Rented or Available,0,1
"$1,995.00",2515 PARKER ST #F,"Garbage, Water",8/22/2017,RENTED - Rented or Available,0,1
"$1,836.29",2515 PARKER ST #G,"Garbage, Water",6/1/2016,RENTED - Rented or Available,0,1
"$1,995.00",2515 PARKER ST #H,"Garbage, Water",5/1/2017,RENTED - Rented or Available,0,2
"$1,479.85",2390 PARKER ST #1,"Garbage, Laundry Access, Water",7/1/2014,RENTED - Rented or Available,1,1
$663.50,2390 PARKER ST #2,(no active services),5/31/1980,RENTED - Rented or Available,1,0
"$1,170.91",2390 PARKER ST #3,"Garbage, Laundry Access, Water",7/3/2011,RENTED - Rented or Available,1,1
"$1,426.99",2390 PARKER ST #4,"Garbage, Laundry Access, Water",9/1/2014,RENTED - Rented or Available,1,1
"$1,370.47",2390 PARKER ST #5,"Garbage, Laundry Access, Water",6/1/2008,RENTED - Rented or Available,1,2
"$1,293.81",2390 PARKER ST #6,"Garbage, Laundry Access, Water",6/1/2013,RENTED - Rented or Available,1,1
"$1,206.16",2390 PARKER ST #7,"Garbage, Laundry Access, Water",6/1/2012,RENTED - Rented or Available,1,1
"$1,313.37",2390 PARKER ST #8,"Garbage, Laundry Access, Water",7/12/2008,RENTED - Rented or Available,1,1
"$1,302.93",2390 PARKER ST #9,"Garbage, Laundry Access, Water",5/10/2010,RENTED - Rented or Available,1,2
"$1,770.40",2390 PARKER ST #10,"Garbage, Laundry Access, Water",3/27/2015,RENTED - Rented or Available,1,1
"$1,268.44",2390 PARKER ST #11,"Garbage, Laundry Access, Water",9/1/2014,RENTED - Rented or Available,1,1
"$1,256.26",2390 PARKER ST #12,(no active services),6/15/2008,RENTED - Rented or Available,1,1
$712.78,2390 PARKER ST #13,(no active services),5/31/1980,RENTED - Rented or Available,1,0
"$1,282.42",2390 PARKER ST #14,"Garbage, Water",4/13/2011,RENTED - Rented or Available,1,2
"$1,374.14",2390 PARKER ST #15,"Garbage, Laundry Access, Water",6/1/2014,RENTED - Rented or Available,1,1
n/a,2335 PARKER ST #1,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #2,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #3,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #4,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #5,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2335 PARKER ST #6,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #7,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #8,Gas,n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #9,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #10,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1990,-1,-1
n/a,2337 PARKER ST #11,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2337 PARKER ST #12,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #1,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #2,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #3,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #4,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #5,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2339 PARKER ST #6,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #7,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #8,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #9,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #10,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #11,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
n/a,2341 PARKER ST #12,"Garbage, Gas, Water",n/a,COOP - Coop owned since 5/26/1993,-1,-1
"$2,455.20",2329 PARKER ST #1,"Appliances, Garbage, Parking, Storage, Water",8/1/2016,RENTED - Rented or Available,1,2
"$1,827.51",2329 PARKER ST #2,"Appliances, Garbage, Parking, Storage, Water",6/1/2013,RENTED - Rented or Available,1,2
"$1,809.23",2329 PARKER ST #3,"Appliances, Garbage, Parking, Storage, Water",11/5/2012,RENTED - Rented or Available,1,1
"$2,291.11",2329 PARKER ST #4,"Appliances, Garbage, Parking, Storage, Water",11/21/2015,RENTED - Rented or Available,1,2
"$1,617.26",2323 PARKER ST #1,"Garbage, Parking, Water",2/1/2013,RENTED - Rented or Available,2,3
"$2,149.35",2323 PARKER ST #2,"Garbage, Water",7/1/2001,RENTED - Rented or Available,1,3
"$1,711.39",2323 PARKER ST #3,"Garbage, Parking, Water",3/13/2009,RENTED - Rented or Available,2,1
"$2,400.00",2323 PARKER ST #4,"Garbage, Water",5/5/2017,RENTED - Rented or Available,2,2
"$1,401.63",2315 PARKER ST #1,"Garbage, Water",6/14/2013,RENTED - Rented or Available,1,1
"$2,061.22",2315 PARKER ST #2,"Garbage, Water",2/3/2014,RENTED - Rented or Available,2,2
"$2,200.00",2315 PARKER ST #3,"Appliances, Garbage, Water",12/18/2017,RENTED - Rented or Available,1,1
"$1,725.08",2315 PARKER ST #4,"Garbage, Water",5/16/2013,RENTED - Rented or Available,2,2
$960.89,2315 PARKER ST #5,"Garbage, Water",5/31/1980,RENTED - Rented or Available,2,0
"$2,659.80",2315 PARKER ST #6,"Garbage, Water",5/9/2016,RENTED - Rented or Available,2,2
"$2,082.83",2315 PARKER ST #7,"Garbage, Water",5/29/2015,RENTED - Rented or Available,2,2
"$1,994.64",2315 PARKER ST #8,"Garbage, Water",7/5/2013,RENTED - Rented or Available,2,2
"$1,739.10",2315 PARKER ST #9,"Garbage, Water",5/13/2016,RENTED - Rented or Available,1,1
"$2,800.00",2315 PARKER ST #10,"Garbage, Water",7/9/2017,RENTED - Rented or Available,2,3
$850.38,2315 PARKER ST #11,"Garbage, Water",5/31/1980,RENTED - Rented or Available,1,0
"$3,200.00",2315 PARKER ST #12,"Garbage, Water",8/21/2017,RENTED - Rented or Available,2,3
"$2,114.07",2315 PARKER ST #14,"Garbage, Water",5/2/2014,RENTED - Rented or Available,2,2
"$1,589.48",2315 PARKER ST #15,"Garbage, Water",12/20/2013,RENTED - Rented or Available,2,2
"$1,561.19",2315 PARKER ST #16,"Garbage, Water",8/13/2011,RENTED - Rented or Available,2,1
