pid,lat,lon,address,formatted_address
EigyNzMxIFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJiaunqM99hYARhk8XtOsWU50QqxU,37.8539912,-122.2513048,2731 WOOLSEY ST,2731 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJrVrrqc99hYARPM3z9hmnfuA,37.8542744,-122.2512753,2733 WOOLSEY ST,2733 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJTYl2knx-hYAREjK9_Jm9XWE,37.8508545,-122.2746268,1632 WOOLSEY ST,1632 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJS317k3x-hYARnNWI9xQ6638,37.8508341,-122.2749369,1628 WOOLSEY ST,1628 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJ-Ze9i3x-hYARb2HnlemsFFs,37.8510409,-122.2741394,3128 KING ST,3128 King St+ Berkeley+ CA 94703+ USA
ChIJ11MDjXx-hYAR5kiUnigsMPI,37.8510013,-122.2744476,1638 WOOLSEY ST,1638 Woolsey St+ Berkeley+ CA 94703+ USA
EigxNjQwIFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwMywgVVNBIhsSGQoUChIJy5L96nx-hYARKzel9hRB_Y8Q6Aw,37.8508722,-122.2744082,1640 WOOLSEY ST,1640 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJq6njlHx-hYARXGSSUfixsG4,37.8507799,-122.2751141,1624 WOOLSEY ST,1624 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJIY5G6Xx-hYARi23uGWdGBeg,37.851279,-122.2750034,1627 WOOLSEY ST,1627 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJw7gtktZ9hYARewMW5_wtBxc,37.8529034,-122.2616828,2301 WOOLSEY ST,2301 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJ95rNk9Z9hYARoz1DtBhnHM4,37.8529035,-122.2616533,2303 WOOLSEY ST,2303 Woolsey St+ Berkeley+ CA 94705+ USA
EigyMzA1IFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJGaF4wNZ9hYARJ0KwMo1rc9YQgRI,37.8530083,-122.2615986,2305 WOOLSEY ST,2305 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJ18z9k9Z9hYARc0fEHdJTdfw,37.8529767,-122.2615151,2307 WOOLSEY ST,2307 Woolsey St+ Berkeley+ CA 94705+ USA
EigyMzA5IFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJGaF4wNZ9hYARJ0KwMo1rc9YQhRI,37.8530249,-122.2614725,2309 WOOLSEY ST,2309 Woolsey St+ Berkeley+ CA 94705+ USA
EigyMzExIFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJGaF4wNZ9hYARJ0KwMo1rc9YQhxI,37.8530316,-122.2614212,2311 WOOLSEY ST,2311 Woolsey St+ Berkeley+ CA 94705+ USA
EigyMzEzIFdvb2xzZXkgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJGaF4wNZ9hYARJ0KwMo1rc9YQiRI,37.8530384,-122.2613699,2313 WOOLSEY ST,2313 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJoSiGltZ9hYARCj6R10piiLI,37.85308,-122.261326,2315 WOOLSEY ST,2315 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJd9xmlXx-hYAR4NetesoSCBY,37.8507628,-122.2752914,1622 WOOLSEY ST,1622 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJ4aV8x3x-hYARV-SWWFF6Vr4,37.8507372,-122.2758009,1610 WOOLSEY ST,1610 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJc_G46Xx-hYARuwuNo2EV4xU,37.8512739,-122.2752028,1625 WOOLSEY ST,1625 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJeVuMOWN-hYARMxmkuI162_o,37.8504572,-122.2775066,1522 WOOLSEY ST,1522 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJ9QmLI2N-hYAR_vwz-eEFu80,37.8508969,-122.2777724,1515 WOOLSEY ST,1515 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJEZhxN2N-hYAR9KTebT9V8VQ,37.850396,-122.277379,1524 WOOLSEY ST,1524 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJid3OI2N-hYAR4I2huJKRKBo,37.8508799,-122.2779496,1513 WOOLSEY ST,1513 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJeX0v6tZ9hYARAwSet2AiBtQ,37.852492,-122.261268,2308 WOOLSEY ST,2308 Woolsey St+ Berkeley+ CA 94705+ USA
ChIJM2rAbtV9hYARg27rNHeSy_U,37.8562057,-122.2644361,2923 WHEELER ST,2923 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJVTkqXNV9hYARRZv6HMlfcQk,37.8565489,-122.2650786,2910 WHEELER ST,2910 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJNYq6adV9hYARJEitpr0-IfE,37.8564662,-122.2644361,2915 WHEELER ST,2915 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJH8llbtV9hYARzqOFLnjIOOk,37.8561076,-122.2643918,2925 WHEELER ST,2925 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJ8QBbWdV9hYAReu6M2CNRhVU,37.856711,-122.265068,2902 WHEELER ST,2902 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJIT77W9V9hYARVcR23LnKaH4,37.8567249,-122.2649899,2904 WHEELER ST,2904 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJN4OPW9V9hYARpxnbMJESTvU,37.8567427,-122.264904,2906 WHEELER ST,2906 Wheeler St+ Berkeley+ CA 94705+ USA
ChIJ_ZBfOWN-hYARqpBafTRwKgU,37.8504402,-122.2776838,1520 WOOLSEY ST,1520 Woolsey St+ Berkeley+ CA 94703+ USA
ChIJP4mdzs59hYARjYiMBR3F7go,37.8562142,-122.248705,2837 WEBSTER ST,2837 Webster St+ Berkeley+ CA 94705+ USA
ChIJ6ZIb7859hYAR6OV70-oXdPg,37.855661,-122.250262,2802 WEBSTER ST,2802 Webster St+ Berkeley+ CA 94705+ USA
EigyODA0IFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJm-Hp6859hYAR57SIObf2AEwQ9BU,37.8556942,-122.2502081,2804 WEBSTER ST,2804 Webster St+ Berkeley+ CA 94705+ USA
ChIJHV1lnr9-hYART82PaGb4y6Y,37.872168,-122.286943,1806 WEST ST,1806 West St+ Berkeley+ CA 94702+ USA
ChIJyzTzm79-hYARwe-oFEybN5U,37.871929,-122.287098,1810 WEST ST,1810 West St+ Berkeley+ CA 94702+ USA
ChIJUdYQmb9-hYARRNlNCGvIFQE,37.871923,-122.286887,1820 WEST ST,1820 West St+ Berkeley+ CA 94702+ USA
ChIJf6Yoas59hYARyRwHIr75_qE,37.8556143,-122.2522502,2708 WEBSTER ST,2708 Webster St+ Berkeley+ CA 94705+ USA
ChIJi5qCCM59hYAR2pRAm0crigw,37.8562062,-122.2533581,2641 WEBSTER ST,2641 Webster St+ Berkeley+ CA 94705+ USA
ChIJeadM_NF9hYARINYARxqYfFg,37.8557136,-122.2541779,2612 WEBSTER ST,2612 Webster St+ Berkeley+ CA 94705+ USA
ChIJ1eJ7Qs59hYARhcZW8pQZqWs,37.8554705,-122.2520508,2716 WEBSTER ST,2716 Webster St+ Berkeley+ CA 94705+ USA
ChIJ9X4eBc59hYARXyIcQd99YME,37.8558305,-122.2534911,2630 WEBSTER ST,2630 Webster St+ Berkeley+ CA 94705+ USA
ChIJPabH7tN9hYARUax2KP-DWVk,37.8555226,-122.2586978,2421 WEBSTER ST,2421 Webster St+ Berkeley+ CA 94705+ USA
EigyNDIzIFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQ9xI,37.8556594,-122.2586997,2423 WEBSTER ST,2423 Webster St+ Berkeley+ CA 94705+ USA
EigyNDI1IFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQ-RI,37.8556628,-122.2586735,2425 WEBSTER ST,2425 Webster St+ Berkeley+ CA 94705+ USA
EigyNDI3IFdlYnN0ZXIgU3QsIEJlcmtlbGV5LCBDQSA5NDcwNSwgVVNBIhsSGQoUChIJ0QYk5tN9hYARyhkM4c4HBygQ-xI,37.8556663,-122.2586472,2427 WEBSTER ST,2427 Webster St+ Berkeley+ CA 94705+ USA
