unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
2060 4TH ST #131,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #132,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #133,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #134,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #135,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #136,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #137,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #138,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #139,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #140,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #201,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #202,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #203,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #204,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #205,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #206,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #207,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #208,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #210,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #211,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #212,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #213,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #214,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #215,n/a,n/a,<p>NEW - New Construction since 1/1/2016</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #216,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #217,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #218,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #219,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #220,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #221,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #222,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #223,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #224,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #226,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #227,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #228,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #229,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #230,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #231,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #232,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #233,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #234,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #235,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #236,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #237,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #238,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #239,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #240,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #301,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #302,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #303,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #304,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #306,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #307,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #308,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #309,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #310,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #311,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #312,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #313,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #314,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #315,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #316,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #317,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #318,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #319,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #320,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #321,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #322,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #323,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #324,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #325,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #326,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #327,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #328,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #329,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #330,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #331,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #332,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #333,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #334,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #335,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #336,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #337,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #338,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #339,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #340,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #401,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #402,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #403,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #404,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #405,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #406,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #407,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #408,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #409,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #410,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #411,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #412,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #413,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #414,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #415,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #416,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #417,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #418,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #419,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #420,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #421,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #422,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #423,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #424,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #425,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #426,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #427,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #428,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #429,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2060 4TH ST #430,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #101 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #102 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #103  ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #104 ,n/a,n/a,<p>NEW - New Construction since 7/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #105 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #106 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #107 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #201,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #202,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #203,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #204 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #205 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #206 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #207 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #301 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #302 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #303  ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #304 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #305 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #306 ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
713 ESSEX WAY #307  ,n/a,n/a,<p>NEW - New Construction since 1/1/2010</p>,<p>(no active services)</p>,-1,-1
2336 DERBY ST,6/1/2017,"$5,200.00",<p>RENTED - Rented or Available</p>,<p>Appliances</p>,5,5
2338 DERBY ST,6/1/2016,"$5,319.60",<p>RENTED - Rented or Available</p>,"<p>Appliances, Laundry Access</p>",5,6
1450 MILVIA ST,1/9/2017,"$3,100.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1941 VINE ST,n/a,n/a,<p>OOCC - Owner Occupied since 2/11/1994</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1712 CHANNING WAY #A,n/a,n/a,<p>OOCC - Owner Occupied since 8/30/1990</p>,<p>(no active services)</p>,-1,-1
1712 CHANNING WAY #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 11/16/2012</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 2/1/2000</p>","<p>Garbage, Parking, Storage</p>",-1,-1
2421 JEFFERSON AVE,n/a,n/a,<p>OOCC - Owner Occupied since 7/26/1990</p>,<p>(no active services)</p>,-1,-1
2423 JEFFERSON AVE,n/a,n/a,<p>OOCC - Owner Occupied since 7/26/1990</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1994</p>,<p>(no active services)</p>,-1,-1
2145 CEDAR ST,9/17/2016,"$2,961.59",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2147 CEDAR ST,3/1/2003,"$1,155.89",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Sewer, Storage, Water</p>",1,1
2149 CEDAR ST,8/15/2006,"$1,168.72",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",1,1
1548 OXFORD ST,5/31/1980,"$1,009.79",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Storage, Water</p>",2,0
1550 OXFORD ST,8/5/2003,"$1,874.42",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Sewer, Storage, Water</p>",2,1
3100 WHEELER ST,5/31/1980,$982.45,<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",2,0
3102 WHEELER ST,5/31/1980,$894.56,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,0
3104 WHEELER ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>Garbage</p>,-1,-1
3106 WHEELER ST,1/1/1985,$899.02,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,0
2142 STUART ST,n/a,n/a,<p>NAR - Not Available for Rent since 8/1/2016</p>,<p>(no active services)</p>,-1,-1
2146 STUART ST,n/a,n/a,<p>OOCC - Owner Occupied since 4/9/1991</p>,<p>(no active services)</p>,-1,-1
1712 DELAWARE ST,n/a,n/a,<p>OOCC - Owner Occupied since 4/15/2004</p>,"<p>Garbage, Parking</p>",-1,-1
1714 DELAWARE ST,9/15/2004,"$1,981.57",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",2,1
1716 DELAWARE ST,n/a,n/a,<p>OOCC - Owner Occupied since 9/28/2004</p>,"<p>Garbage, Parking</p>",-1,-1
,n/a,n/a,<p>MISC - Exempt-Misc since 11/9/2004</p>,"<p>Furnishings, Garbage, Storage</p>",-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>Garbage</p>,-1,-1
1618 ALCATRAZ AVE #1,9/22/2002,"$1,896.20",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other, Parking, Water</p>",4,3
1618 ALCATRAZ AVE #2,n/a,n/a,<p>RENTED - Rented or Available since 12/1/2016</p>,<p>(no active services)</p>,4,-1
1701 HARMON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2009</p>,<p>Garbage</p>,-1,-1
1703 HARMON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2009</p>,<p>(no active services)</p>,-1,-1
1705 HARMON ST,11/20/2008,"$1,142.08",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,6
1707 HARMON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2010</p>,<p>Garbage</p>,-1,-1
1711 HARMON ST #LOWER,11/15/1999,$779.77,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,4
1711 HARMON ST #UPPER,5/1/2001,"$1,392.08",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Sewer, Water</p>",2,2
1201 BANCROFT WAY,9/27/2017,"$2,500.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Other, Water</p>",1,2
2241 CURTIS ST,5/10/2017,"$2,350.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking</p>",2,2
2245 CURTIS ST,1/24/2018,"$2,295.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,1
1617 OXFORD ST,9/1/2003,"$2,874.12",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Storage, Water</p>",2,2
1619 OXFORD ST #1,n/a,$674.33,<p>RENTED - Rented or Available since 5/1/2013</p>,"<p>Garbage, Storage, Water</p>",1,-1
1619 OXFORD ST #2,6/1/2002,"$2,374.29",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",1,3
1619 OXFORD ST #3,9/1/2001,"$1,124.67",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",0,1
3042 MLK JR WAY,n/a,n/a,<p>NAR - Not Available for Rent since 6/1/2004</p>,"<p>Garbage, Water</p>",-1,-1
3044 MLK JR WAY,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1996</p>,"<p>Garbage, Water</p>",-1,-1
1841 PRINCE ST,1/1/2012,"$1,397.50",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,1
1845 PRINCE ST,n/a,"$1,558.31",<p>RENTED - Rented or Available since 7/1/2007</p>,"<p>Appliances, Garbage, Laundry Access</p>",2,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
2403 ASHBY AVE,8/1/2012,"$1,315.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2405 ASHBY AVE,8/11/2017,"$2,100.00",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2407 ASHBY AVE,8/6/2012,"$1,315.80",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,2
2409 ASHBY AVE,8/1/2016,"$1,892.55",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2411 ASHBY AVE,8/1/2005,"$1,229.87",<p>RENTED - Rented or Available</p>,"<p>Garbage, Sewer</p>",1,2
2413 ASHBY AVE,4/13/2016,"$1,892.55",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
2415 ASHBY AVE,11/11/2014,"$1,902.67",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2417 ASHBY AVE,3/1/2017,"$1,900.00",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
1827 VIRGINIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/25/1990</p>,<p>(no active services)</p>,-1,-1
1829 VIRGINIA ST,8/8/2014,"$2,114.07",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,2
1831 VIRGINIA ST,9/1/2002,"$1,644.50",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,0
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>",<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1814 FRANCISCO ST,n/a,n/a,<p>NAR - Not Available for Rent since 6/6/2003</p>,"<p>Garbage, Parking, Storage</p>",-1,-1
1816 FRANCISCO ST,n/a,n/a,<p>NAR - Not Available for Rent since 4/30/2003</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/1/2007</p>",<p>(no active services)</p>,-1,-1
2210 CHANNING WAY,8/1/2015,"$3,853.23",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,4,4
2212 CHANNING WAY,n/a,n/a,<p>OOCC - Owner Occupied since 3/1/2002</p>,"<p>Electricity, Garbage, Gas, Laundry Access, Other, Storage, Water</p>",-1,-1
1707 LINCOLN ST #A,5/31/1980,"$1,012.28",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
1707 LINCOLN ST #B,5/31/1980,$947.68,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
1709 LINCOLN ST,11/1/2010,$793.09,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat</p>",1,1
1711 LINCOLN ST #A,5/31/1980,$947.68,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,0
1711 LINCOLN ST #B,7/1/2007,"$1,290.19",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
3221 ELLIS ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 4/30/1990</p>,<p>(no active services)</p>,-1,-1
3221 ELLIS ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 12/17/2002</p>,"<p>Garbage, Water</p>",-1,-1
1034 VIRGINIA ST #LO-FR,11/16/2002,"$1,896.93",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Storage, Water</p>",3,4
1034 VIRGINIA ST #LO-RR,n/a,n/a,<p>NAR - Not Available for Rent since 3/1/1992</p>,"<p>Electricity, Garbage, Gas, Water</p>",-1,-1
1034 VIRGINIA ST #UP-FR,1/1/2015,"$2,082.83",<p>RENTED - Rented or Available</p>,<p>Water</p>,2,2
1034 VIRGINIA ST #UP-RR,2/21/2015,"$2,499.39",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",2,4
2033 DELAWARE ST #1,8/26/1996,$640.33,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",1,0
2033 DELAWARE ST #2,5/31/1980,$536.00,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",1,0
2033 DELAWARE ST #FLAT,5/31/1980,$883.64,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",2,0
2035 DELAWARE ST #A,9/16/2004,$792.04,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",1,1
2035 DELAWARE ST #B,7/17/1996,$632.48,<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Parking, Storage</p>",1,0
