unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 7/1/1999</p>","<p>Garbage, Parking</p>",-1,-1
1939 BERRYMAN ST #A,5/1/2017,"$1,650.00",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",1,2
1939 BERRYMAN ST #B,1/1/2017,"$2,100.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
1941 BERRYMAN ST,1/1/2009,"$1,483.21",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
1943 BERRYMAN ST #A,5/31/1980,$933.29,<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Water</p>",1,0
1943 BERRYMAN ST #B,7/1/2017,"$1,550.00",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",0,1
1943 BERRYMAN ST #C,5/1/2017,"$1,550.00",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",0,1
1945 BERRYMAN ST #A,7/1/2011,$892.12,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",0,1
1945 BERRYMAN ST #B,9/1/2017,"$1,600.00",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",0,1
1945 BERRYMAN ST #C,9/1/2016,"$1,636.80",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1240 MILVIA ST,3/1/2008,$774.29,<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,0
1240 MILVIA ST #A,9/1/2016,"$1,534.50",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Water</p>",0,2
1240 MILVIA ST #C,5/1/2005,"$1,076.12",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
1242 MILVIA ST #A,7/1/2014,"$1,347.72",<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Water</p>",1,2
1242 MILVIA ST #B,5/31/1980,$865.93,<p>RENTED - Rented or Available</p>,"<p>Garbage, Gas, Water</p>",1,0
2832 SACRAMENTO ST #A,2/13/2012,"$1,315.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,2
2832 SACRAMENTO ST #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 3/1/2012</p>,<p>Garbage</p>,-1,-1
2834 SACRAMENTO ST #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 9/30/2010</p>,"<p>Appliances, Garbage</p>",-1,-1
2834 SACRAMENTO ST #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 3/1/2012</p>,<p>Garbage</p>,-1,-1
2900 ELLSWORTH ST,8/1/2014,"$1,057.04",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",0,3
2902 ELLSWORTH ST,7/1/2006,"$1,863.39",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",2,2
2244 RUSSELL ST,10/1/2010,"$2,152.68",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",3,3
2244 RUSSELL ST #1/2,6/1/2014,"$1,664.84",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",1,2
,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
3045 FULTON ST,n/a,n/a,<p>OOCC - Owner Occupied since 4/30/1990</p>,<p>(no active services)</p>,-1,-1
3047 FULTON ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/14/1990</p>,<p>(no active services)</p>,-1,-1
1300 CARRISON ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 8/11/1999</p>,<p>(no active services)</p>,-1,-1
3029 MABEL ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 2/1/2003</p>,"<p>Garbage, Water</p>",-1,-1
3033 MABEL ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 2/13/2003</p>,<p>(no active services)</p>,-1,-1
1843 CHANNING WAY,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1845 CHANNING WAY,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1847 CHANNING WAY,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1849 CHANNING WAY,n/a,n/a,<p>MISC - Exempt-Misc since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
1708 WOOLSEY ST,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2017</p>,"<p>Appliances, Garbage, Storage, Water</p>",-1,-1
1710 WOOLSEY ST,n/a,n/a,<p>OOCC - Owner Occupied since 10/24/1989</p>,<p>(no active services)</p>,-1,-1
1501 SUMMIT RD,n/a,n/a,<p>OOCC - Owner Occupied since 4/9/1991</p>,<p>(no active services)</p>,-1,-1
1501 SUMMIT RD #B,n/a,n/a,<p>OOCC - Owner Occupied since 4/9/1991</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 10/7/2006</p>","<p>Appliances, Garbage, Gas, Laundry Access, Parking, Storage, Water</p>",-1,-1
836 CHANNING WAY #A,n/a,n/a,<p>(~) MISC - Exempt-Misc since 12/14/1993</p>,<p>(no active services)</p>,-1,-1
836 CHANNING WAY #B,4/26/2007,"$1,407.48",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Parking</p>",2,4
836 CHANNING WAY #C,4/26/2011,"$1,338.18",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Parking</p>",2,4
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 4/7/2014</p>","<p>Furnishings, Garbage, Laundry Access, Water</p>",-1,-1
2161 DWIGHT WAY,n/a,$0.00,<p>RENTED - Rented or Available since 12/22/2017</p>,<p>(no active services)</p>,2,-1
2165 DWIGHT WAY,n/a,$0.00,<p>RENTED - Rented or Available since 12/22/2017</p>,<p>(no active services)</p>,2,-1
