address,rpo
2133 OREGON ST,630.485
900 BANCROFT WAY,2034.7
1612 TYLER ST,779.155
1601 DERBY ST,855.3366666666667
1210 ALLSTON WAY,687.34
1420 ADDISON ST,1187.750857142857
1535 PRINCE ST,1292.6525000000001
2327 CARLETON ST,3058.77
1823 6TH ST,822.38
1647 VIRGINIA ST,532.2933333333334
2339 BLAKE ST,844.4860000000001
2511 TELEGRAPH AVE,1025.0
50 PANORAMIC WAY,1453.43
1248 ASHBY AVE,1437.5
2629 REGENT ST,837.28
2623 COLLEGE AVE,1134.6650000000002
2442 ROOSEVELT AVE,1262.2649999999996
2401 MCKINLEY AVE,722.5833333333334
1938 CHANNING WAY,1260.97
1681 SCENIC AVE,929.29
2442 PIEDMONT AVE,852.9154545454545
1543 SPRUCE ST,1292.61
1424 HENRY ST,1201.615
2420 DWIGHT WAY,986.544705882353
2132 BROWNING ST,1068.2366666666667
1509 GRANT ST,1275.0033333333333
2337 PROSPECT ST,2020.43
1705 HARMON ST,190.34666666666666
1419 8TH ST,1349.85
2831 HILLEGASS AVE,1152.33
2341 ELLSWORTH ST,509.54857142857145
1216 66TH ST,727.77
3046 BENVENUE AVE,2397.41
1544 ARCH ST,1026.825
2037 LINCOLN ST,1509.45
2155 DWIGHT WAY,615.77
1306 CORNELL AVE,2104.84
1708 RUSSELL ST,2455.2
1930 CALIFORNIA ST,1499.5499999999995
1612 OXFORD ST,4160.45
2126 MCKINLEY AVE,975.755
3038 STANTON ST,639.556
2763 PARK ST,557.5733333333334
2017 MCGEE AVE,1474.8100000000002
2347 WOOLSEY ST,1362.08
1223 UNIVERSITY AVE,967.175
1423 OXFORD ST,1259.3257142857144
2742 FULTON ST,1133.3333333333333
1625 WOOLSEY ST,937.4484999999999
2305 BONAR ST,684.55
2912 CALIFORNIA ST,1892.55
840 BANCROFT WAY,714.29
2318 DURANT AVE,1611.5
2739 DERBY ST,1055.35
2817 TELEGRAPH AVE,1156.5175
3006 COLLEGE AVE,2527.97
2460 PARKER ST,823.8066666666667
1437 OXFORD ST,1725.08
1450 CORNELL AVE,1250.0
1727 OREGON ST,1400.0
2509 DANA ST,798.9628571428572
1806 10TH ST,438.59999999999997
2115 STUART ST,951.56
2233 BLAKE ST,806.575
2009 MCGEE AVE,1923.44
1201 HASKELL ST,562.728
2019 MCGEE AVE,924.255
2209 CURTIS ST,1260.97
2511 PARKER ST,861.848620689655
