name,zip,num/range,pattern,company,type,zip+4
University Ave   ,94704,1140,,LONGS LOCKSMITHS, F,94702-1695
University Ave   ,94704,1150,, , H,94702-1626
University Ave   ,94704,1150,, , H,94702-1634
University Ave   ,94704,1150,, , H,94702-1635
University Ave   ,94704,1176,, , H,94702-1627
University Ave   ,94704,1176,, , H,94702-1628
University Ave   ,94704,1176,, , H,94702-1629
University Ave   ,94704,1176,, , H,94702-1654
University Ave   ,94704,1176,, , H,94702-1880
University Ave   ,94704,1176,, , H,94702-1881
University Ave   ,94704,1176,, , H,94702-1882
University Ave   ,94704,1176,, , H,94702-1883
University Ave   ,94704,1176,, , H,94702-1884
University Ave   ,94704,1180,, , H,94702-1630
University Ave   ,94704,1180,, , H,94702-1630
University Ave   ,94704,1200 to 1236,Even Only, , S,94702-1766
University Ave   ,94704,1201 to 1249,Odd Only, , S,94702-1708
University Ave   ,94704,1238 to 1298,Even Only, , S,94702-1725
University Ave   ,94704,1251 to 1299,Odd Only, , S,94702-1724
University Ave   ,94704,1275,, , H,94702-1726
University Ave   ,94704,1275,, , H,94702-1727
University Ave   ,94704,1275,, , H,94702-1728
University Ave   ,94704,1275,, , H,94702-1729
University Ave   ,94704,1275,, , H,94702-1752
University Ave   ,94704,1280,, , H,94702-1762
University Ave   ,94704,1280,, , H,94702-1762
University Ave   ,94704,1300 to 1398,Even Only, , S,94702-1711
University Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1710
University Ave   ,94704,1307,,DR MICHAEL B CONANT, F,94702-1794
University Ave   ,94704,1330,, , H,94702-1767
University Ave   ,94704,1330,, , H,94702-1768
University Ave   ,94704,1330,, , H,94702-1769
University Ave   ,94704,1330,, , H,94702-1769
University Ave   ,94704,1337,, , H,94702-1763
University Ave   ,94704,1337,, , H,94702-1763
University Ave   ,94704,1370,, , H,94702-1786
University Ave   ,94704,1370,, , H,94702-1786
University Ave   ,94704,1370,, , H,94702-1786
University Ave   ,94704,1370,, , H,94702-1786
University Ave   ,94704,1370,, , H,94702-1787
University Ave   ,94704,1370,, , H,94702-1788
University Ave   ,94704,1375,,EMPLOYMENT DEV DEPT, F,94702-1770
University Ave   ,94704,1399,,LEDGERS LIQUORS, F,94702-1796
University Ave   ,94704,1400 to 1498,Even Only, , S,94702-1509
University Ave   ,94704,1401 to 1499,Odd Only, , S,94702-1508
University Ave   ,94704,1414,, , H,94702-1548
University Ave   ,94704,1414,, , H,94702-1548
University Ave   ,94704,1420,,LEES NURSERY AND FLORIST, F,94702-1598
University Ave   ,94704,1441,, , H,94702-1530
University Ave   ,94704,1441,, , H,94702-1530
University Ave   ,94704,1447,, , H,94702-1529
University Ave   ,94704,1447,, , H,94702-1529
University Ave   ,94704,1450,, , H,94702-1538
University Ave   ,94704,1450,, , H,94702-1539
University Ave   ,94704,1450,, , H,94702-1540
University Ave   ,94704,1450,, , H,94702-1541
University Ave   ,94704,1461,,CALIFORNIA MOTEL, F,94702-1595
University Ave   ,94704,1472,, , H,94702-1510
University Ave   ,94704,1472,, , H,94702-1513
University Ave   ,94704,1472,, , H,94702-1527
University Ave   ,94704,1472,, , H,94702-1542
University Ave   ,94704,1472,, , H,94702-1543
University Ave   ,94704,1474,,MAIL BOXES ETC, F,94702-1500
University Ave   ,94704,1482,, , H,94702-1512
University Ave   ,94704,1482,, , H,94702-1512
Tomlee Dr   ,94704,1300 to 1398,Even Only, , S,94702-1110
Tomlee Dr   ,94704,1301 to 1399,Odd Only, , S,94702-1109
Talbot Ave   ,94704,1300 to 1398,Even Only, , S,94702-1034
Talbot Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1033
Stanton St   ,94704,2800 to 2898,Even Only, , S,94702-2523
Stanton St   ,94704,2801 to 2899,Odd Only, , S,94702-2522
Stanton St   ,94704,2900 to 2998,Even Only, , S,94702-2512
Stanton St   ,94704,2901 to 2999,Odd Only, , S,94702-2511
Stanton St   ,94704,2915,, , H,94702-2558
Stanton St   ,94704,2915,, , H,94702-2558
Stanton St   ,94704,2918,, , H,94702-2525
Stanton St   ,94704,2918,, , H,94702-2566
Stanton St   ,94704,2918,, , H,94702-2570
Stanton St   ,94704,2920,, , H,94702-2526
Stanton St   ,94704,2920,, , H,94702-2571
Stanton St   ,94704,2922,, , H,94702-2527
Stanton St   ,94704,2922,, , H,94702-2572
Stanton St   ,94704,2926,, , H,94702-2559
Stanton St   ,94704,2926,, , H,94702-2564
Stanton St   ,94704,2931,, , H,94702-2524
Stanton St   ,94704,2931,, , H,94702-2524
Stanton St   ,94704,2933,, , H,94702-2537
Stanton St   ,94704,2933,, , H,94702-2537
Stanton St   ,94704,2950,, , H,94702-2528
Stanton St   ,94704,2950,, , H,94702-2528
Stanton St   ,94704,3000 to 3098,Even Only, , S,94702-2730
Stanton St   ,94704,3001 to 3025,Odd Only, , S,94702-2729
Stannage Ave   ,94704,1300 to 1398,Even Only, , S,94702-1030
Stannage Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1029
Stannage Ave   ,94704,1400 to 1428,Even Only, , S,94702-1032
Stannage Ave   ,94704,1401 to 1431,Odd Only, , S,94702-1031
Stannage Ave   ,94704,1430 to 1498,Even Only, , S,94702-1049
Stannage Ave   ,94704,1433 to 1499,Odd Only, , S,94702-1048
Stannage Ave   ,94704,1500 to 1534,Even Only, , S,94702-1319
Stannage Ave   ,94704,1536 to 1598,Even Only, , S,94702-1357
Stannage Ave   ,94704,1600 to 1698,Even Only, , S,94702-1321
Stannage Ave   ,94704,1601 to 1699,Odd Only, , S,94702-1320
Stannage Ave   ,94704,1639,, , H,94702-1323
Stannage Ave   ,94704,1639,, , H,94702-1323
Sojourner Truth Ct   ,94704,2700 to 2799,, , S,94702-2350
Short St   ,94704,1600 to 1698,Even Only, , S,94702-1232
Short St   ,94704,1601 to 1699,Odd Only, , S,94702-1231
Short St   ,94704,1800 to 1898,Even Only, , S,94702-1525
Short St   ,94704,1801 to 1899,Odd Only, , S,94702-1524
Sharrald St   ,94704,5001 to 5099,Odd Only, , S,94702-0009
Santa Fe Ave   ,94704,1300 to 1320,Even Only, , S,94702-1026
Santa Fe Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1025
Santa Fe Ave   ,94704,1322 to 1398,Even Only, , S,94702-1047
Santa Fe Ave   ,94704,1400 to 1498,Even Only, , S,94702-1028
Santa Fe Ave   ,94704,1401 to 1499,Odd Only, , S,94702-1027
San Pablo Ave   ,94704,1300 to 1398,Even Only, , S,94702-1022
San Pablo Ave   ,94704,1301 to 1399,Odd Only, , S,94702-1021
San Pablo Ave   ,94704,1317,,ASHKENAZ CLUB, F,94702-1091
San Pablo Ave   ,94704,1346,,PERCISION AUTO CARE, F,94702-1087
San Pablo Ave   ,94704,1400 to 1434,Even Only, , S,94702-1024
San Pablo Ave   ,94704,1401 to 1435,Odd Only, , S,94702-1023
San Pablo Ave   ,94704,1436 to 1498,Even Only, , S,94702-1046
San Pablo Ave   ,94704,1437 to 1499,Odd Only, , S,94702-1045
San Pablo Ave   ,94704,1485,,GRIFFIN AUTO, F,94702-1088
San Pablo Ave   ,94704,1500 to 1598,Even Only, , S,94702-1316
San Pablo Ave   ,94704,1501,,MARBEL RUG CO, F,94702-1392
San Pablo Ave   ,94704,1501 to 1599,Odd Only, , S,94702-1315
San Pablo Ave   ,94704,1600 to 1698,Even Only, , S,94702-1318
San Pablo Ave   ,94704,1601 to 1699,Odd Only, , S,94702-1317
San Pablo Ave   ,94704,1611,, , H,94702-1367
San Pablo Ave   ,94704,1611,, , H,94702-1367
San Pablo Ave   ,94704,1611,, , H,94702-1367
San Pablo Ave   ,94704,1611,, , H,94702-1375
San Pablo Ave   ,94704,1611,, , H,94702-1376
San Pablo Ave   ,94704,1611,, , H,94702-1376
San Pablo Ave   ,94704,1611,, , H,94702-1376
San Pablo Ave   ,94704,1611,, , H,94702-1377
San Pablo Ave   ,94704,1611,, , H,94702-1377
San Pablo Ave   ,94704,1611,, , H,94702-1377
San Pablo Ave   ,94704,1611,, , H,94702-1378
San Pablo Ave   ,94704,1611,, , H,94702-1378
San Pablo Ave   ,94704,1620,,GOLDEN BEAR MOTEL, F,94702-1393
San Pablo Ave   ,94704,1641,, , H,94702-1366
San Pablo Ave   ,94704,1641,, , H,94702-1373
San Pablo Ave   ,94704,1641,, , H,94702-1374
San Pablo Ave   ,94704,1644,, , H,94702-1369
San Pablo Ave   ,94704,1644,, , H,94702-1369
San Pablo Ave   ,94704,1648,, , H,94702-1368
San Pablo Ave   ,94704,1648,, , H,94702-1368
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1650,, , H,94702-1370
San Pablo Ave   ,94704,1654,, , H,94702-1371
San Pablo Ave   ,94704,1654,, , H,94702-1371
San Pablo Ave   ,94704,1700 to 1798,Even Only, , S,94702-1336
San Pablo Ave   ,94704,1701,, , S,94702-1380
San Pablo Ave   ,94704,1721 to 1799,Odd Only, , S,94702-1353
San Pablo Ave   ,94704,1732,, , H,94702-1349
San Pablo Ave   ,94704,1732,, , H,94702-1349
San Pablo Ave   ,94704,1732,, , H,94702-1350
San Pablo Ave   ,94704,1732,, , H,94702-1361
San Pablo Ave   ,94704,1800 to 1898,Even Only, , S,94702-1624
San Pablo Ave   ,94704,1801 to 1899,Odd Only, , S,94702-1623
San Pablo Ave   ,94704,1808,, , H,94702-1795
San Pablo Ave   ,94704,1808,, , H,94702-1795
San Pablo Ave   ,94704,1828,, , H,94702-1671
San Pablo Ave   ,94704,1828,, , H,94702-1671
San Pablo Ave   ,94704,1900 to 1998,Even Only, , S,94702-1612
San Pablo Ave   ,94704,1901 to 1999,Odd Only, , S,94702-1611
San Pablo Ave   ,94704,1931,, , H,94702-1675
San Pablo Ave   ,94704,1931,, , H,94702-1675
San Pablo Ave   ,94704,1970,, , H,94702-1637
San Pablo Ave   ,94704,1970,, , H,94702-1638
San Pablo Ave   ,94704,1970,, , H,94702-1653
San Pablo Ave   ,94704,1970,, , H,94702-1681
San Pablo Ave   ,94704,1970,, , H,94702-1683
San Pablo Ave   ,94704,2000 to 2098,Even Only, , S,94702-1614
San Pablo Ave   ,94704,2001 to 2099,Odd Only, , S,94702-1613
San Pablo Ave   ,94704,2100 to 2198,Even Only, , S,94702-1828
San Pablo Ave   ,94704,2101 to 2137,Odd Only, , S,94702-1827
San Pablo Ave   ,94704,2111,, , H,94702-5001
San Pablo Ave   ,94704,2111,, , H,94702-5002
San Pablo Ave   ,94704,2111,, , H,94702-5003
San Pablo Ave   ,94704,2111,, , H,94702-5004
San Pablo Ave   ,94704,2111,, , H,94702-5005
San Pablo Ave   ,94704,2111,, , H,94702-5006
San Pablo Ave   ,94704,2111,, , H,94702-5007
San Pablo Ave   ,94704,2111,, , H,94702-5008
San Pablo Ave   ,94704,2111,, , H,94702-5009
San Pablo Ave   ,94704,2111,, , H,94702-5010
San Pablo Ave   ,94704,2111,, , H,94702-5011
San Pablo Ave   ,94704,2111,, , H,94702-5012
San Pablo Ave   ,94704,2111,, , H,94702-5013
San Pablo Ave   ,94704,2111,, , H,94702-5014
San Pablo Ave   ,94704,2111,, , H,94702-5015
San Pablo Ave   ,94704,2111,, , H,94702-5016
San Pablo Ave   ,94704,2111,, , H,94702-5017
San Pablo Ave   ,94704,2111,, , H,94702-5018
San Pablo Ave   ,94704,2111,, , H,94702-5019
San Pablo Ave   ,94704,2111,, , H,94702-5020
San Pablo Ave   ,94704,2111,, , H,94702-5021
San Pablo Ave   ,94704,2111,, , H,94702-5022
San Pablo Ave   ,94704,2111,, , H,94702-5023
San Pablo Ave   ,94704,2111,, , H,94702-5024
San Pablo Ave   ,94704,2111,, , H,94702-5025
San Pablo Ave   ,94704,2111,, , H,94702-5026
San Pablo Ave   ,94704,2111,, , H,94702-5027
San Pablo Ave   ,94704,2111,, , H,94702-5028
San Pablo Ave   ,94704,2111,, , H,94702-5029
San Pablo Ave   ,94704,2111,, , H,94702-5030
San Pablo Ave   ,94704,2111,, , H,94702-5031
San Pablo Ave   ,94704,2111,, , H,94702-5032
San Pablo Ave   ,94704,2111,, , H,94702-5033
San Pablo Ave   ,94704,2111,, , H,94702-5034
San Pablo Ave   ,94704,2111,, , H,94702-5035
San Pablo Ave   ,94704,2111,, , H,94702-5036
San Pablo Ave   ,94704,2111,, , H,94702-5037
San Pablo Ave   ,94704,2111,, , H,94702-5038
San Pablo Ave   ,94704,2111,, , H,94702-5038
San Pablo Ave   ,94704,2111,, , H,94702-5039
San Pablo Ave   ,94704,2111,, , H,94702-5039
San Pablo Ave   ,94704,2111,, , H,94702-5040
San Pablo Ave   ,94704,2111,, , H,94702-5041
San Pablo Ave   ,94704,2111,, , H,94702-5042
San Pablo Ave   ,94704,2111,, , H,94702-5043
San Pablo Ave   ,94704,2111,, , H,94702-5044
San Pablo Ave   ,94704,2111,, , H,94702-5045
San Pablo Ave   ,94704,2111,, , H,94702-5046
San Pablo Ave   ,94704,2111,, , H,94702-5047
San Pablo Ave   ,94704,2111,, , H,94702-5048
San Pablo Ave   ,94704,2111,, , H,94702-5049
San Pablo Ave   ,94704,2111,, , H,94702-5050
San Pablo Ave   ,94704,2111,, , H,94702-5051
San Pablo Ave   ,94704,2111,, , H,94702-5052
San Pablo Ave   ,94704,2111,, , H,94702-5053
San Pablo Ave   ,94704,2111,, , H,94702-5054
San Pablo Ave   ,94704,2111,, , H,94702-5055
San Pablo Ave   ,94704,2111,, , H,94702-5056
San Pablo Ave   ,94704,2111,, , H,94702-5057
San Pablo Ave   ,94704,2111,, , H,94702-5058
San Pablo Ave   ,94704,2111,,A STATION MANAGER, F,94702-9991
San Pablo Ave   ,94704,2111,, , H,94702-5099
San Pablo Ave   ,94704,2139 to 2199,Odd Only, , S,94702-1857
San Pablo Ave   ,94704,2147,,BEYOND REPAIR AUTO SER, F,94702-1897
San Pablo Ave   ,94704,2200 to 2298,Even Only, , S,94702-1830
San Pablo Ave   ,94704,2201 to 2299,Odd Only, , S,94702-1829
San Pablo Ave   ,94704,2204,,SUNRISE SPECIALTY, F,94702-1898
San Pablo Ave   ,94704,2212,, , H,94702-1852
San Pablo Ave   ,94704,2212,, , H,94702-1852
San Pablo Ave   ,94704,2228,, , H,94702-1869
San Pablo Ave   ,94704,2228,, , H,94702-1869
San Pablo Ave   ,94704,2236,,UNITED AUTO PARTS, F,94702-1896
San Pablo Ave   ,94704,2295,, , H,94702-1871
San Pablo Ave   ,94704,2295,, , H,94702-1871
San Pablo Ave   ,94704,2300 to 2398,Even Only, , S,94702-2039
San Pablo Ave   ,94704,2301 to 2357,Odd Only, , S,94702-2038
San Pablo Ave   ,94704,2321,,TITUS MACHINE SHOP, F,94702-2097
San Pablo Ave   ,94704,2332,,EAST BAY NURSERY, F,94702-2001
San Pablo Ave   ,94704,2359 to 2399,Odd Only, , S,94702-2055
San Pablo Ave   ,94704,2400 to 2498,Even Only, , S,94702-2011
San Pablo Ave   ,94704,2401 to 2499,Odd Only, , S,94702-2010
San Pablo Ave   ,94704,2500 to 2598,Even Only, , S,94702-2013
San Pablo Ave   ,94704,2501 to 2535,Odd Only, , S,94702-2012
San Pablo Ave   ,94704,2511,, , H,94702-2051
San Pablo Ave   ,94704,2511,, , H,94702-2065
San Pablo Ave   ,94704,2511,, , H,94702-2065
San Pablo Ave   ,94704,2521,, , H,94702-2073
San Pablo Ave   ,94704,2521,, , H,94702-2073
San Pablo Ave   ,94704,2530,,GOLDEN GATE AUDUBON SOCIETY, F,94702-2047
San Pablo Ave   ,94704,2530,, , H,94702-2000
San Pablo Ave   ,94704,2530,, , H,94702-2000
San Pablo Ave   ,94704,2537 to 2599,Odd Only, , S,94702-2043
San Pablo Ave   ,94704,2546,,BANK OF AMERICA, F,94702-2098
San Pablo Ave   ,94704,2577,, , H,94702-2004
San Pablo Ave   ,94704,2577,, , H,94702-2064
San Pablo Ave   ,94704,2600 to 2624,Even Only, , S,94702-2228
San Pablo Ave   ,94704,2601 to 2621,Odd Only, , S,94702-2227
San Pablo Ave   ,94704,2623 to 2699,Odd Only, , S,94702-2248
San Pablo Ave   ,94704,2625,,BIG O TIRES P MARRERD, F,94702-2293
San Pablo Ave   ,94704,2626 to 2698,Even Only, , S,94702-2249
San Pablo Ave   ,94704,2645,,EAST BAY SIGN CO, F,94702-2284
San Pablo Ave   ,94704,2649,, , H,94702-2262
San Pablo Ave   ,94704,2649,, , H,94702-2262
San Pablo Ave   ,94704,2700,, , H,94702-2260
San Pablo Ave   ,94704,2700,, , H,94702-2260
San Pablo Ave   ,94704,2700,, , H,94702-2260
San Pablo Ave   ,94704,2700,, , H,94702-2260
San Pablo Ave   ,94704,2700,, , H,94702-2265
San Pablo Ave   ,94704,2700,, , H,94702-2265
San Pablo Ave   ,94704,2700,, , H,94702-2265
San Pablo Ave   ,94704,2700,, , H,94702-2266
San Pablo Ave   ,94704,2700,, , H,94702-2291
San Pablo Ave   ,94704,2700 to 2724,Even Only, , S,94702-2202
San Pablo Ave   ,94704,2701,,COOPER HAWKINS CO, F,94702-2290
San Pablo Ave   ,94704,2701 to 2721,Odd Only, , S,94702-2201
San Pablo Ave   ,94704,2709,,NORDIC HOUSE, F,94702-3076
San Pablo Ave   ,94704,2723 to 2799,Odd Only, , S,94702-2239
San Pablo Ave   ,94704,2726 to 2798,Even Only, , S,94702-2240
San Pablo Ave   ,94704,2800 to 2898,Even Only, , S,94702-2204
San Pablo Ave   ,94704,2801,, , H,94702-2238
San Pablo Ave   ,94704,2801,, , H,94702-2259
San Pablo Ave   ,94704,2801 to 2823,Odd Only, , S,94702-2203
San Pablo Ave   ,94704,2822,, , H,94702-2237
San Pablo Ave   ,94704,2825 to 2899,Odd Only, , S,94702-2241
San Pablo Ave   ,94704,2830,,MERCIRIO BROS, F,94702-2289
San Pablo Ave   ,94704,2832,,MEYER SOUND, F,94702-2258
San Pablo Ave   ,94704,2843,,C AND M MEAT CO, F,94702-2294
San Pablo Ave   ,94704,2900 to 2938,Even Only, , S,94702-2426
San Pablo Ave   ,94704,2901 to 2961,Odd Only, , S,94702-2425
San Pablo Ave   ,94704,2940,, , S,94702-2470
San Pablo Ave   ,94704,2942 to 2948,Even Only, , S,94702-2472
San Pablo Ave   ,94704,2950,,BERKELEY GAME, F,94702-2482
San Pablo Ave   ,94704,2950 to 2998,Even Only, , S,94702-2471
San Pablo Ave   ,94704,2963 to 2999,Odd Only, , S,94702-2465
San Pablo Ave   ,94704,3000 to 3098,Even Only, , S,94702-2428
San Pablo Ave   ,94704,3001 to 3031,Odd Only, , S,94702-2489
San Pablo Ave   ,94704,3015,, , H,94702-2430
San Pablo Ave   ,94704,3015,, , H,94702-2488
San Pablo Ave   ,94704,3015,, , H,94702-2490
San Pablo Ave   ,94704,3015,, , H,94702-2491
San Pablo Ave   ,94704,3015,, , H,94702-2492
San Pablo Ave   ,94704,3015,, , H,94702-2493
San Pablo Ave   ,94704,3015,, , H,94702-2495
San Pablo Ave   ,94704,3015,, , H,94702-2496
San Pablo Ave   ,94704,3015,, , H,94702-2497
San Pablo Ave   ,94704,3015,, , H,94702-2497
San Pablo Ave   ,94704,3015,, , H,94702-2497
San Pablo Ave   ,94704,3033 to 3099,Odd Only, , S,94702-2427
San Pablo Ave   ,94704,3037,, , H,94702-2434
San Pablo Ave   ,94704,3037,, , H,94702-2434
San Pablo Ave   ,94704,3100 to 3198,Even Only, , S,94702-2498
San Pablo Ave   ,94704,3101,,BEST FIRE EQUIPMENT, F,94702-2494
San Pablo Ave   ,94704,3101 to 3199,Odd Only, , S,94702-2429
San Pablo Ave   ,94704,2213 1/2,, , H,94702-1856
San Pablo Ave   ,94704,2213 1/2,, , H,94702-1856
Sacramento St   ,94704,1300 to 1398,Even Only, , S,94702-1203
Sacramento St   ,94704,1301 to 1399,Odd Only, , S,94702-1202
Sacramento St   ,94704,1325,, , H,94702-1235
Sacramento St   ,94704,1325,, , H,94702-1235
Sacramento St   ,94704,1330,, , H,94702-1200
Sacramento St   ,94704,1330,, , H,94702-1236
Sacramento St   ,94704,1330,, , H,94702-1237
Sacramento St   ,94704,1401 to 1499,Odd Only, , S,94702-1204
Sacramento St   ,94704,1500 to 1598,Even Only, , S,94702-1207
Sacramento St   ,94704,1501 to 1599,Odd Only, , S,94702-1206
Sacramento St   ,94704,1600,, , S,94702-1252
Sacramento St   ,94704,1601 to 1623,Odd Only, , S,94702-1208
Sacramento St   ,94704,1602 to 1644,Even Only, , S,94702-1209
Sacramento St   ,94704,1625 to 1699,Odd Only, , S,94702-1233
Sacramento St   ,94704,1646 to 1698,Even Only, , S,94702-1234
Sacramento St   ,94704,1701 to 1725,Odd Only, , S,94702-1501
Sacramento St   ,94704,1727 to 1799,Odd Only, , S,94702-1528
Sacramento St   ,94704,1800 to 1898,Even Only, , S,94702-1503
Sacramento St   ,94704,1801 to 1899,Odd Only, , S,94702-1502
Sacramento St   ,94704,1900 to 1916,Even Only, , S,94702-1505
Sacramento St   ,94704,1901 to 1937,Odd Only, , S,94702-1504
Sacramento St   ,94704,1904,, , H,94702-1531
Sacramento St   ,94704,1904,, , H,94702-1531
Sacramento St   ,94704,1918 to 1998,Even Only, , S,94702-1536
Sacramento St   ,94704,1939 to 1999,Odd Only, , S,94702-1535
Sacramento St   ,94704,2000 to 2098,Even Only, , S,94702-1507
Sacramento St   ,94704,2001 to 2099,Odd Only, , S,94702-1506
Sacramento St   ,94704,2100 to 2198,Even Only, , S,94702-1905
Sacramento St   ,94704,2101 to 2199,Odd Only, , S,94702-1904
Sacramento St   ,94704,2114,, , H,94702-1928
Sacramento St   ,94704,2114,, , H,94702-1928
Sacramento St   ,94704,2120,, , H,94702-1936
Sacramento St   ,94704,2120,, , H,94702-1936
Sacramento St   ,94704,2124,, , H,94702-1937
Sacramento St   ,94704,2124,, , H,94702-1937
Sacramento St   ,94704,2132,, , H,94702-1976
Sacramento St   ,94704,2132,, , H,94702-1976
Sacramento St   ,94704,2138,, , H,94702-1977
Sacramento St   ,94704,2138,, , H,94702-1977
Sacramento St   ,94704,2146,, , H,94702-1938
Sacramento St   ,94704,2146,, , H,94702-1959
Sacramento St   ,94704,2146,, , H,94702-1960
Sacramento St   ,94704,2200 to 2298,Even Only, , S,94702-1907
Sacramento St   ,94704,2201 to 2299,Odd Only, , S,94702-1906
Sacramento St   ,94704,2206,, , H,94702-1961
Sacramento St   ,94704,2206,, , H,94702-1961
Sacramento St   ,94704,2208,, , H,94702-1962
Sacramento St   ,94704,2208,, , H,94702-1962
Sacramento St   ,94704,2212,, , H,94702-1963
Sacramento St   ,94704,2212,, , H,94702-1963
Sacramento St   ,94704,2214,, , H,94702-1964
Sacramento St   ,94704,2214,, , H,94702-1964
Sacramento St   ,94704,2216,, , H,94702-1965
Sacramento St   ,94704,2216,, , H,94702-1965
Sacramento St   ,94704,2220,, , H,94702-1978
Sacramento St   ,94704,2220,, , H,94702-1979
Sacramento St   ,94704,2235,, , H,94702-1966
Sacramento St   ,94704,2235,, , H,94702-1966
Sacramento St   ,94704,2235,, , H,94702-1968
Sacramento St   ,94704,2235,, , H,94702-1969
Sacramento St   ,94704,2235,,BERKSHIRE CONVALESCENT HOSP, H,94702-1970
Sacramento St   ,94704,2235,, , H,94702-1970
Sacramento St   ,94704,2235,, , H,94702-1970
Sacramento St   ,94704,2235,, , H,94702-1971
Sacramento St   ,94704,2235,, , H,94702-1972
Sacramento St   ,94704,2300 to 2398,Even Only, , S,94702-2128
Sacramento St   ,94704,2301 to 2399,Odd Only, , S,94702-2127
Sacramento St   ,94704,2400 to 2498,Even Only, , S,94702-2130
Sacramento St   ,94704,2401 to 2499,Odd Only, , S,94702-2129
Sacramento St   ,94704,2405,, , H,94702-2163
Sacramento St   ,94704,2405,, , H,94702-2163
Sacramento St   ,94704,2405,, , H,94702-2166
Sacramento St   ,94704,2414,, , H,94702-2100
Sacramento St   ,94704,2414,, , H,94702-2100
Sacramento St   ,94704,2500 to 2550,Even Only, , S,94702-2132
Sacramento St   ,94704,2501 to 2531,Odd Only, , S,94702-2131
Sacramento St   ,94704,2533 to 2599,Odd Only, , S,94702-2157
Sacramento St   ,94704,2552 to 2598,Even Only, , S,94702-2158
Sacramento St   ,94704,2600 to 2648,Even Only, , S,94702-2321
Sacramento St   ,94704,2601 to 2645,Odd Only, , S,94702-2320
Sacramento St   ,94704,2647 to 2699,Odd Only, , S,94702-2335
Sacramento St   ,94704,2650 to 2698,Even Only, , S,94702-2336
Sacramento St   ,94704,2700 to 2744,Even Only, , S,94702-2322
Sacramento St   ,94704,2733 to 2799,Odd Only, , S,94702-2346
Sacramento St   ,94704,2746 to 2798,Even Only, , S,94702-2337
Sacramento St   ,94704,2800 to 2858,Even Only, , S,94702-2508
Sacramento St   ,94704,2801 to 2827,Odd Only, , S,94702-2507
Sacramento St   ,94704,2829 to 2899,Odd Only, , S,94702-2532
Sacramento St   ,94704,2860 to 2898,Even Only, , S,94702-2533
Sacramento St   ,94704,2900,,PARK STATION, F,94702-9992
Sacramento St   ,94704,2900,, , S,94702-2510
Sacramento St   ,94704,2900 to 2998,Even Only, , S,94702-2510
Sacramento St   ,94704,2901 to 2943,Odd Only, , S,94702-2509
Sacramento St   ,94704,2924,, , H,94702-2565
Sacramento St   ,94704,2924,, , H,94702-2565
Sacramento St   ,94704,2945 to 2999,Odd Only, , S,94702-2534
Sacramento St   ,94704,2972,, , H,94702-2573
Sacramento St   ,94704,2972,, , H,94702-2573
Sacramento St   ,94704,2974,,SACRAMENTO MARKET, F,94702-2599
Sacramento St   ,94704,3000 to 3036,Even Only, , S,94702-2722
Sacramento St   ,94704,3001 to 3031,Odd Only, , S,94702-2721
Sacramento St   ,94704,3033 to 3099,Odd Only, , S,94702-2734
Sacramento St   ,94704,3038 to 3098,Even Only, , S,94702-2700
Sacramento St   ,94704,3049,, , H,94702-2751
Sacramento St   ,94704,3100 to 3118,Even Only, , S,94702-2724
Sacramento St   ,94704,3101,,REIDS RECORDS, F,94702-2798
Sacramento St   ,94704,3101 to 3127,Odd Only, , S,94702-2723
Sacramento St   ,94704,3120 to 3138,Even Only, , S,94702-2736
Sacramento St   ,94704,3129 to 3199,Odd Only, , S,94702-2735
Sacramento St   ,94704,3140 to 3198,Even Only, , S,94702-2737
Sacramento St   ,94704,3200 to 3222,Even Only, , S,94702-2726
Sacramento St   ,94704,3201 to 3229,Odd Only, , S,94702-2725
Sacramento St   ,94704,3224 to 3298,Even Only, , S,94702-2739
Sacramento St   ,94704,3231 to 3299,Odd Only, , S,94702-2738
Sacramento St   ,94704,3240,, , H,94702-2740
Sacramento St   ,94704,3240,, , H,94702-2740
Sacramento St   ,94704,3300 to 3398,Even Only, , S,94702-2728
Sacramento St   ,94704,3301 to 3399,Odd Only, , S,94702-2727
Sacramento St   ,94704,3306,, , H,94702-2742
Sacramento St   ,94704,3306,, , H,94702-2742
Sacramento St   ,94704,2132B,, , S,94702-1976
Sacramento St   ,94704,2138A,, , S,94702-1977
Russell St   ,94704,1100 to 1198,Even Only, , S,94702-2422
Russell St   ,94704,1101 to 1199,Odd Only, , S,94702-2421
Russell St   ,94704,1200 to 1298,Even Only, , S,94702-2424
Russell St   ,94704,1201 to 1215,Odd Only, , S,94702-2423
Russell St   ,94704,1217 to 1299,Odd Only, , S,94702-2463
Russell St   ,94704,1226,, , H,94702-2479
Russell St   ,94704,1226,, , H,94702-2479
Russell St   ,94704,1237,, , H,94702-2435
Russell St   ,94704,1237,, , H,94702-2435
Russell St   ,94704,1300 to 1318,Even Only, , S,94702-2433
