name,zip,num/range,pattern,company,type,zip+4
Carrison St   ,94704,1259,, , H,94702-2450
Carrison St   ,94704,1300 to 1398,Even Only, , S,94702-2412
Carrison St   ,94704,1301 to 1399,Odd Only, , S,94702-2411
Carrison St   ,94704,1332,, , H,94702-2477
Carrison St   ,94704,1332,, , H,94702-2477
Carleton St   ,94704,1100 to 1198,Even Only, , S,94702-2206
Carleton St   ,94704,1101 to 1199,Odd Only, , S,94702-2205
Carleton St   ,94704,1200 to 1298,Even Only, , S,94702-2208
Carleton St   ,94704,1201 to 1299,Odd Only, , S,94702-2207
Carleton St   ,94704,1215,, , H,94702-2263
Carleton St   ,94704,1215,, , H,94702-2263
Carleton St   ,94704,1300 to 1398,Even Only, , S,94702-2305
Carleton St   ,94704,1301 to 1399,Odd Only, , S,94702-2304
Carleton St   ,94704,1400 to 1498,Even Only, , S,94702-2307
Carleton St   ,94704,1401 to 1499,Odd Only, , S,94702-2306
Carleton St   ,94704,1403,, , H,94702-2340
Carleton St   ,94704,1403,, , H,94702-2340
Carleton St   ,94704,1405,, , H,94702-2339
Carleton St   ,94704,1405,, , H,94702-2339
Carleton St   ,94704,1409,, , H,94702-2338
Carleton St   ,94704,1409,, , H,94702-2338
Camelia St   ,94704,1100 to 1118,Even Only, , S,94702-1008
Camelia St   ,94704,1101 to 1119,Odd Only, , S,94702-1007
Camelia St   ,94704,1121 to 1129,Odd Only, , S,94702-1037
Camelia St   ,94704,1131 to 1157,Odd Only, , S,94702-1038
Camelia St   ,94704,1158 to 1198,Even Only, , S,94702-1040
Camelia St   ,94704,1159 to 1199,Odd Only, , S,94702-1039
Byron St   ,94704,2100 to 2124,Even Only, , S,94702-1810
Byron St   ,94704,2101 to 2199,Odd Only, , S,94702-1809
Byron St   ,94704,2126 to 2198,Even Only, , S,94702-1858
Byron St   ,94704,2200 to 2298,Even Only, , S,94702-1812
Byron St   ,94704,2201 to 2299,Odd Only, , S,94702-1811
Byron St   ,94704,2400 to 2498,Even Only, , S,94702-2029
Byron St   ,94704,2401 to 2499,Odd Only, , S,94702-2028
Burnett St   ,94704,1200 to 1298,Even Only, , S,94702-2406
Burnett St   ,94704,1201 to 1299,Odd Only, , S,94702-2405
Burnett St   ,94704,1300 to 1398,Even Only, , S,94702-2408
Burnett St   ,94704,1308,, , H,94702-2458
Burnett St   ,94704,1308,, , H,94702-2458
Burnett St   ,94704,1309 to 1399,Odd Only, , S,94702-2407
Burnett St   ,94704,1310,, , H,94702-2468
Burnett St   ,94704,1310,, , H,94702-2468
Burnett St   ,94704,1316,, , H,94702-2436
Burnett St   ,94704,1316,, , H,94702-2436
Browning St   ,94704,2100 to 2198,Even Only, , S,94702-1822
Browning St   ,94704,2101 to 2199,Odd Only, , S,94702-1821
Browning St   ,94704,2125,, , H,94702-1875
Browning St   ,94704,2125,, , H,94702-1875
Browning St   ,94704,2132,, , H,94702-1855
Browning St   ,94704,2132,, , H,94702-1855
Browning St   ,94704,2200 to 2298,Even Only, , S,94702-1824
Browning St   ,94704,2201 to 2299,Odd Only, , S,94702-1823
Browning St   ,94704,2235,, , H,94702-1878
Browning St   ,94704,2235,, , H,94702-1878
Browning St   ,94704,2235,, , H,94702-1878
Browning St   ,94704,2236,, , H,94702-1876
Browning St   ,94704,2236,, , H,94702-1876
Browning St   ,94704,2243,, , H,94702-1877
Browning St   ,94704,2243,, , H,94702-1877
Browning St   ,94704,2300 to 2398,Even Only, , S,94702-2025
Browning St   ,94704,2301 to 2399,Odd Only, , S,94702-2024
Browning St   ,94704,2334,, , H,94702-2057
Browning St   ,94704,2334,, , H,94702-2057
Browning St   ,94704,2400 to 2498,Even Only, , S,94702-2027
Browning St   ,94704,2401 to 2499,Odd Only, , S,94702-2026
Browning St   ,94704,2417,, , H,94702-2071
Browning St   ,94704,2417,, , H,94702-2071
Browning St   ,94704,2236A,, , S,94702-1876
Bonar St   ,94704,2000 to 2098,Even Only, , S,94702-1793
Bonar St   ,94704,2001 to 2099,Odd Only, , S,94702-1712
Bonar St   ,94704,2100 to 2198,Even Only, , S,94702-1806
Bonar St   ,94704,2109 to 2199,Odd Only, , S,94702-1805
Bonar St   ,94704,2110,, , H,94702-1866
Bonar St   ,94704,2110,, , H,94702-1866
Bonar St   ,94704,2112,, , H,94702-1867
